#,Name,Date of birth,From,Died in the area of,Rank,Military Unit,Sources
2751,Oleh Lysenko Oleksandrovych,"February 06, 2000",Odesa Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Infantry,"https://example1.com, https://example10.com, https://example9.com, https://example5.com"
2752,Ihor Shevchenko Yuriyovych,"January 10, 1969",Kharkiv Oblast,Zhytomyr Oblast,Private,Special Forces,"https://example5.com, https://example3.com, https://example1.com, https://example4.com, https://example4.com, https://example5.com, https://example1.com"
2753,Oleh Tkachuk Ivanovych,"May 14, 1961",Kharkiv Oblast,Zhytomyr Oblast,Captain,Battalion 1,"https://example2.com, https://example8.com, https://example7.com, https://example1.com, https://example3.com, https://example6.com, https://example5.com, https://example2.com"
2754,Dmytro Bibikov Serhiyovych,"October 27, 1961",Donetsk Oblast,Donetsk Oblast,Captain,Infantry,"https://example4.com, https://example10.com, https://example4.com, https://example2.com, https://example10.com, https://example4.com"
2755,Volodymyr Sakalo Yuriyovych,"August 23, 1968",Kyiv Oblast,Donetsk Oblast,Private,Special Forces,"https://example4.com, https://example10.com, https://example8.com, https://example7.com, https://example5.com, https://example5.com, https://example8.com, https://example5.com"
2756,Roman Lysenko Vasyl'ovych,"March 14, 1987","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Colonel,Unknown,"https://example10.com, https://example2.com, https://example7.com"
2757,Yuriy Bibikov Petrovych,"November 05, 1961",Kharkiv Oblast,Lviv Oblast,Major,Battalion 2,"https://example9.com, https://example4.com, https://example2.com, https://example8.com"
2758,Oleh Kravchenko Petrovych,"July 28, 1991",Donetsk Oblast,Kyiv Oblast,Major,Infantry,"https://example1.com, https://example5.com, https://example6.com, https://example8.com, https://example7.com, https://example4.com, https://example7.com"
2759,Yuriy Tkachuk Ivanovych,"February 04, 1978",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Battalion 2,"https://example10.com, https://example3.com, https://example5.com, https://example4.com, https://example8.com, https://example1.com"
2760,Oleksandr Lysenko Serhiyovych,"April 10, 1985",Chernivtsi Oblast,Odesa Oblast,Sergeant,Recon Squad,"https://example9.com, https://example9.com, https://example7.com, https://example10.com, https://example8.com, https://example1.com, https://example2.com, https://example4.com"
2761,Ihor Bibikov Vasyl'ovych,"March 01, 1977",Chernivtsi Oblast,Chernivtsi Oblast,Captain,Infantry,"https://example10.com, https://example3.com, https://example8.com, https://example1.com, https://example2.com, https://example7.com, https://example3.com, https://example6.com"
2762,Serhiy Kravchenko Serhiyovych,"July 10, 1970",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Battalion 2,"https://example4.com, https://example5.com, https://example4.com"
2763,Serhiy Tkachuk Vasyl'ovych,"December 23, 1978","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Lieutenant,Recon Squad,"https://example7.com, https://example4.com, https://example7.com, https://example4.com, https://example9.com, https://example3.com, https://example4.com, https://example8.com"
2764,Yuriy Lysenko Mykhailovych,"January 06, 1974",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Unknown,"https://example5.com, https://example9.com, https://example3.com, https://example4.com, https://example3.com, https://example6.com, https://example5.com"
2765,Ihor Bondarenko Petrovych,"November 12, 1968",Chernivtsi Oblast,Zhytomyr Oblast,Private,Battalion 1,"https://example8.com, https://example7.com, https://example7.com, https://example7.com, https://example2.com, https://example2.com, https://example7.com, https://example7.com"
2766,Oleksandr Tkachuk Petrovych,"January 20, 1995",Donetsk Oblast,Donetsk Oblast,Captain,Unknown,"https://example1.com, https://example6.com, https://example2.com, https://example10.com, https://example9.com, https://example10.com, https://example4.com, https://example5.com"
2767,Yuriy Tkachuk Ivanovych,"March 02, 1988",Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Recon Squad,"https://example10.com, https://example5.com, https://example9.com, https://example3.com, https://example8.com, https://example6.com, https://example10.com, https://example6.com"
2768,Mykola Tkachuk Oleksandrovych,"May 24, 1993","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Battalion 2,"https://example8.com, https://example4.com, https://example9.com, https://example4.com, https://example5.com, https://example4.com, https://example10.com"
2769,Andrij Kravchenko Petrovych,"December 15, 1966",Lviv Oblast,Kyiv Oblast,Captain,Infantry,"https://example5.com, https://example1.com, https://example2.com, https://example6.com"
2770,Yuriy Zinchenko Volodymyrovych,"July 29, 1984",Odesa Oblast,Kyiv Oblast,Major,Recon Squad,"https://example8.com, https://example4.com, https://example3.com, https://example6.com"
2771,Mykola Kovalenko Serhiyovych,"August 09, 1969",Kyiv Oblast,Kyiv Oblast,Major,Battalion 1,"https://example8.com, https://example9.com, https://example8.com, https://example4.com, https://example5.com, https://example10.com"
2772,Oleksandr Kovalenko Petrovych,"January 18, 1965",Donetsk Oblast,Zhytomyr Oblast,Senior soldier,Special Forces,"https://example7.com, https://example1.com, https://example8.com, https://example3.com, https://example6.com, https://example5.com"
2773,Roman Lysenko Romanovych,"July 01, 1965",Kharkiv Oblast,Kyiv Oblast,Private,Battalion 2,"https://example10.com, https://example1.com, https://example10.com"
2774,Oleksandr Sakalo Mykolayovych,"July 24, 1995",Odesa Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Infantry,"https://example9.com, https://example3.com, https://example2.com, https://example7.com"
2775,Serhiy Bondarenko Petrovych,"May 26, 1962",Lviv Oblast,Chernivtsi Oblast,Captain,Battalion 2,"https://example5.com, https://example5.com, https://example2.com, https://example5.com"
2776,Ihor Bondarenko Mykhailovych,"February 06, 1965",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Unknown,"https://example2.com, https://example10.com, https://example3.com, https://example3.com, https://example1.com, https://example3.com"
2777,Andrij Shevchenko Petrovych,"March 13, 1965",Zhytomyr Oblast,Zhytomyr Oblast,Sergeant,Unknown,"https://example6.com, https://example9.com, https://example9.com, https://example4.com"
2778,Dmytro Lysenko Oleksandrovych,"May 12, 2000",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Unknown,"https://example9.com, https://example7.com, https://example10.com, https://example1.com, https://example1.com, https://example5.com, https://example10.com"
2779,Dmytro Lysenko Volodymyrovych,"January 24, 1963","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Sergeant,Battalion 2,"https://example6.com, https://example10.com, https://example9.com"
2780,Oleh Hrytsenko Oleksandrovych,"August 23, 1981",Odesa Oblast,Kharkiv Oblast,Captain,Recon Squad,"https://example6.com, https://example5.com, https://example9.com, https://example3.com"
2781,Mykola Sakalo Mykolayovych,"December 18, 1993","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Sergeant,Unknown,"https://example1.com, https://example3.com, https://example7.com, https://example5.com, https://example8.com, https://example9.com, https://example6.com"
2782,Volodymyr Kovalenko Romanovych,"March 03, 1989",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Battalion 1,"https://example4.com, https://example1.com, https://example9.com, https://example7.com, https://example9.com, https://example1.com, https://example7.com"
2783,Ihor Lysenko Ivanovych,"November 09, 1960",Lviv Oblast,Kyiv Oblast,Captain,Infantry,"https://example5.com, https://example6.com, https://example9.com, https://example10.com, https://example7.com, https://example6.com, https://example4.com"
2784,Volodymyr Kovalenko Volodymyrovych,"December 03, 1980",Kyiv Oblast,Lviv Oblast,Private,Battalion 1,"https://example8.com, https://example1.com, https://example4.com, https://example3.com, https://example5.com, https://example10.com"
2785,Serhiy Shevchenko Volodymyrovych,"October 06, 1982",Kyiv Oblast,Lviv Oblast,Lieutenant,Battalion 1,"https://example2.com, https://example10.com, https://example1.com, https://example9.com, https://example3.com, https://example10.com, https://example9.com"
2786,Oleksandr Bibikov Mykolayovych,"January 04, 1983","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Recon Squad,"https://example7.com, https://example1.com, https://example8.com, https://example7.com, https://example1.com"
2787,Yuriy Sakalo Vasyl'ovych,"February 07, 1974",Donetsk Oblast,Chernivtsi Oblast,Senior soldier,Infantry,"https://example7.com, https://example5.com, https://example4.com, https://example4.com, https://example1.com, https://example3.com, https://example9.com"
2788,Volodymyr Bibikov Oleksandrovych,"February 10, 1970",Donetsk Oblast,Zhytomyr Oblast,Private,Battalion 2,"https://example1.com, https://example10.com, https://example2.com, https://example10.com, https://example10.com, https://example8.com, https://example2.com, https://example8.com"
2789,Yuriy Kravchenko Vasyl'ovych,"May 23, 1987",Kharkiv Oblast,Kyiv Oblast,Senior soldier,Battalion 1,"https://example3.com, https://example5.com, https://example7.com"
2790,Dmytro Zinchenko Petrovych,"February 06, 1965",Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Battalion 1,"https://example5.com, https://example9.com, https://example2.com, https://example8.com, https://example4.com"
2791,Serhiy Bondarenko Volodymyrovych,"March 24, 1982","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Special Forces,"https://example1.com, https://example10.com, https://example6.com"
2792,Dmytro Sakalo Mykhailovych,"November 18, 1997",Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Unknown,"https://example9.com, https://example6.com, https://example7.com, https://example7.com, https://example1.com"
2793,Mykola Shevchenko Vasyl'ovych,"October 28, 1993","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Unknown,"https://example7.com, https://example10.com, https://example10.com, https://example5.com"
2794,Ihor Lysenko Oleksandrovych,"July 16, 1963",Lviv Oblast,Donetsk Oblast,Major,Battalion 2,"https://example7.com, https://example7.com, https://example10.com, https://example4.com, https://example10.com, https://example1.com, https://example10.com, https://example5.com"
2795,Ihor Zinchenko Yuriyovych,"April 03, 1964",Donetsk Oblast,Kyiv Oblast,Captain,Infantry,"https://example6.com, https://example1.com, https://example2.com, https://example1.com, https://example2.com, https://example7.com, https://example6.com, https://example8.com"
2796,Oleksandr Kovalenko Mykolayovych,"May 21, 1964",Kharkiv Oblast,Kyiv Oblast,Captain,Recon Squad,"https://example1.com, https://example1.com, https://example3.com"
2797,Ihor Tkachuk Petrovych,"March 29, 1976",Kyiv Oblast,Chernivtsi Oblast,Colonel,Unknown,"https://example5.com, https://example6.com, https://example4.com, https://example2.com, https://example10.com, https://example5.com, https://example7.com"
2798,Dmytro Sakalo Volodymyrovych,"August 26, 1977",Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Unknown,"https://example9.com, https://example4.com, https://example1.com, https://example5.com, https://example1.com"
2799,Oleh Lysenko Vasyl'ovych,"November 05, 1982","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Sergeant,Battalion 2,"https://example7.com, https://example1.com, https://example3.com, https://example10.com, https://example7.com, https://example5.com, https://example3.com"
2800,Oleh Kravchenko Ivanovych,"December 15, 1981",Kyiv Oblast,Chernivtsi Oblast,Private,Battalion 2,"https://example4.com, https://example1.com, https://example4.com, https://example3.com, https://example3.com"
2801,Serhiy Zinchenko Mykhailovych,"July 25, 1980",Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Infantry,"https://example9.com, https://example3.com, https://example3.com, https://example3.com, https://example10.com, https://example4.com, https://example5.com, https://example6.com"
2802,Roman Kovalenko Volodymyrovych,"October 19, 1963","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Senior soldier,Special Forces,"https://example8.com, https://example10.com, https://example1.com, https://example10.com, https://example7.com, https://example8.com, https://example2.com, https://example3.com"
2803,Oleh Hrytsenko Petrovych,"March 31, 1970","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Colonel,Battalion 1,"https://example2.com, https://example6.com, https://example4.com, https://example3.com, https://example7.com"
2804,Dmytro Zinchenko Serhiyovych,"August 08, 1979",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Battalion 1,"https://example5.com, https://example5.com, https://example3.com, https://example10.com, https://example9.com"
2805,Oleksandr Lysenko Vasyl'ovych,"June 16, 1972","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Private,Unknown,"https://example4.com, https://example9.com, https://example10.com, https://example1.com, https://example8.com, https://example6.com, https://example2.com, https://example9.com"
2806,Andrij Tkachuk Yuriyovych,"August 20, 1994",Zhytomyr Oblast,Odesa Oblast,Sergeant,Battalion 2,"https://example8.com, https://example5.com, https://example7.com, https://example3.com, https://example3.com"
2807,Serhiy Kravchenko Yuriyovych,"October 15, 1993","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Battalion 1,"https://example7.com, https://example2.com, https://example9.com, https://example10.com"
2808,Ihor Bibikov Mykolayovych,"December 06, 1990",Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Recon Squad,"https://example5.com, https://example8.com, https://example1.com, https://example1.com, https://example9.com, https://example2.com, https://example8.com"
2809,Andrij Shevchenko Petrovych,"August 01, 1971",Chernivtsi Oblast,Kharkiv Oblast,Captain,Battalion 1,"https://example8.com, https://example1.com, https://example5.com, https://example1.com"
2810,Roman Bondarenko Vasyl'ovych,"December 10, 2000",Chernivtsi Oblast,Kharkiv Oblast,Colonel,Recon Squad,"https://example6.com, https://example1.com, https://example10.com, https://example7.com"
2811,Mykola Zinchenko Ivanovych,"March 15, 1975",Zhytomyr Oblast,Odesa Oblast,Lieutenant,Battalion 1,"https://example10.com, https://example2.com, https://example2.com, https://example7.com, https://example4.com, https://example1.com, https://example2.com"
2812,Oleksandr Sakalo Mykhailovych,"November 15, 1961","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Chernivtsi Oblast,Lieutenant,Unknown,"https://example8.com, https://example8.com, https://example2.com, https://example10.com, https://example8.com, https://example7.com"
2813,Oleh Hrytsenko Volodymyrovych,"June 27, 1979",Kharkiv Oblast,Odesa Oblast,Major,Battalion 1,"https://example4.com, https://example9.com, https://example8.com, https://example1.com, https://example4.com"
2814,Oleh Bibikov Yuriyovych,"July 24, 1979",Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Infantry,"https://example7.com, https://example1.com, https://example2.com, https://example3.com, https://example5.com, https://example8.com, https://example5.com"
2815,Roman Tkachuk Yuriyovych,"December 30, 1988","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Special Forces,"https://example1.com, https://example8.com, https://example6.com, https://example3.com"
2816,Serhiy Zinchenko Ivanovych,"September 15, 1983",Odesa Oblast,Lviv Oblast,Colonel,Infantry,"https://example6.com, https://example7.com, https://example8.com"
2817,Oleh Bondarenko Oleksandrovych,"September 30, 1991",Chernivtsi Oblast,Kharkiv Oblast,Major,Infantry,"https://example5.com, https://example3.com, https://example4.com, https://example10.com"
2818,Andrij Lysenko Vasyl'ovych,"February 17, 1966","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Major,Special Forces,"https://example8.com, https://example8.com, https://example8.com, https://example4.com, https://example8.com, https://example3.com, https://example5.com"
2819,Yuriy Tkachuk Mykolayovych,"August 25, 1963",Donetsk Oblast,Lviv Oblast,Senior soldier,Battalion 2,"https://example9.com, https://example3.com, https://example10.com"
2820,Andrij Shevchenko Ivanovych,"September 06, 1996","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Unknown,"https://example4.com, https://example3.com, https://example7.com, https://example1.com, https://example3.com, https://example9.com"
2821,Dmytro Kravchenko Petrovych,"December 27, 1965","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Captain,Battalion 2,"https://example9.com, https://example2.com, https://example8.com, https://example7.com"
2822,Mykola Kravchenko Yuriyovych,"September 25, 1968",Donetsk Oblast,Zhytomyr Oblast,Senior soldier,Battalion 2,"https://example3.com, https://example5.com, https://example2.com, https://example3.com, https://example2.com, https://example5.com, https://example8.com, https://example10.com"
2823,Andrij Hrytsenko Yuriyovych,"June 13, 1986",Donetsk Oblast,Kyiv Oblast,Captain,Battalion 2,"https://example4.com, https://example7.com, https://example2.com, https://example6.com, https://example7.com, https://example3.com, https://example5.com, https://example9.com"
2824,Dmytro Zinchenko Vasyl'ovych,"April 23, 1981",Odesa Oblast,Kyiv Oblast,Lieutenant,Special Forces,"https://example3.com, https://example6.com, https://example9.com"
2825,Yuriy Kovalenko Serhiyovych,"January 01, 1998",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Infantry,"https://example5.com, https://example2.com, https://example8.com, https://example4.com, https://example7.com, https://example6.com, https://example1.com"
2826,Dmytro Kovalenko Vasyl'ovych,"August 13, 1965","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Infantry,"https://example6.com, https://example7.com, https://example2.com, https://example5.com"
2827,Ihor Shevchenko Volodymyrovych,"July 11, 1992",Kyiv Oblast,Kyiv Oblast,Captain,Infantry,"https://example2.com, https://example7.com, https://example3.com, https://example4.com, https://example4.com, https://example6.com, https://example8.com, https://example7.com"
2828,Oleh Zinchenko Mykhailovych,"May 01, 1984",Kyiv Oblast,Lviv Oblast,Sergeant,Infantry,"https://example9.com, https://example9.com, https://example3.com"
2829,Dmytro Tkachuk Ivanovych,"December 18, 1972",Kharkiv Oblast,Odesa Oblast,Lieutenant,Recon Squad,"https://example8.com, https://example9.com, https://example4.com"
2830,Volodymyr Lysenko Oleksandrovych,"November 25, 2000",Odesa Oblast,Kharkiv Oblast,Sergeant,Battalion 2,"https://example8.com, https://example8.com, https://example7.com, https://example1.com, https://example8.com, https://example6.com, https://example10.com"
2831,Yuriy Shevchenko Vasyl'ovych,"June 12, 1969",Lviv Oblast,Lviv Oblast,Major,Battalion 2,"https://example9.com, https://example9.com, https://example1.com, https://example9.com, https://example8.com, https://example10.com, https://example1.com, https://example1.com"
2832,Andrij Lysenko Petrovych,"July 11, 1963","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Chernivtsi Oblast,Private,Recon Squad,"https://example4.com, https://example4.com, https://example5.com, https://example10.com, https://example3.com, https://example9.com"
2833,Oleksandr Hrytsenko Romanovych,"July 06, 1960",Chernivtsi Oblast,Zhytomyr Oblast,Colonel,Recon Squad,"https://example6.com, https://example3.com, https://example5.com, https://example6.com, https://example1.com, https://example7.com, https://example8.com"
2834,Dmytro Bondarenko Vasyl'ovych,"April 10, 1991",Lviv Oblast,Kyiv Oblast,Lieutenant,Special Forces,"https://example10.com, https://example4.com, https://example8.com, https://example6.com, https://example7.com, https://example7.com, https://example2.com"
2835,Oleksandr Hrytsenko Petrovych,"June 17, 1991",Zhytomyr Oblast,Lviv Oblast,Lieutenant,Special Forces,"https://example3.com, https://example1.com, https://example9.com, https://example1.com, https://example8.com, https://example2.com"
2836,Volodymyr Zinchenko Volodymyrovych,"September 10, 1994","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kyiv Oblast,Sergeant,Infantry,"https://example5.com, https://example8.com, https://example4.com, https://example8.com, https://example8.com, https://example9.com, https://example1.com, https://example7.com"
2837,Yuriy Kravchenko Oleksandrovych,"May 01, 1975","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Senior soldier,Infantry,"https://example4.com, https://example4.com, https://example5.com, https://example3.com, https://example8.com, https://example8.com"
2838,Dmytro Bibikov Oleksandrovych,"May 04, 1960",Donetsk Oblast,Donetsk Oblast,Colonel,Infantry,"https://example5.com, https://example5.com, https://example3.com, https://example10.com, https://example10.com, https://example2.com, https://example7.com"
2839,Volodymyr Hrytsenko Mykhailovych,"November 02, 1994","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Major,Battalion 1,"https://example8.com, https://example8.com, https://example10.com, https://example3.com, https://example1.com, https://example6.com"
2840,Volodymyr Tkachuk Vasyl'ovych,"September 10, 1965","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Infantry,"https://example5.com, https://example8.com, https://example6.com, https://example4.com, https://example8.com, https://example5.com, https://example5.com, https://example8.com"
2841,Yuriy Shevchenko Yuriyovych,"September 07, 1985",Odesa Oblast,Kyiv Oblast,Senior soldier,Infantry,"https://example10.com, https://example4.com, https://example1.com, https://example7.com, https://example7.com, https://example2.com, https://example8.com, https://example3.com"
2842,Serhiy Zinchenko Petrovych,"April 28, 1991","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Lieutenant,Infantry,"https://example1.com, https://example5.com, https://example3.com, https://example7.com, https://example3.com"
2843,Oleh Lysenko Vasyl'ovych,"September 22, 1971",Chernivtsi Oblast,Zhytomyr Oblast,Captain,Infantry,"https://example6.com, https://example5.com, https://example8.com, https://example1.com, https://example2.com, https://example1.com, https://example6.com, https://example5.com"
2844,Oleh Kravchenko Yuriyovych,"January 07, 1969",Kharkiv Oblast,Odesa Oblast,Lieutenant,Battalion 1,"https://example7.com, https://example2.com, https://example6.com, https://example6.com, https://example2.com, https://example6.com, https://example9.com"
2845,Volodymyr Zinchenko Vasyl'ovych,"April 01, 1968","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Battalion 2,"https://example2.com, https://example2.com, https://example2.com, https://example7.com, https://example4.com"
2846,Oleh Lysenko Volodymyrovych,"October 29, 1960",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Battalion 2,"https://example2.com, https://example7.com, https://example5.com"
2847,Ihor Zinchenko Yuriyovych,"March 13, 1987",Chernivtsi Oblast,Kharkiv Oblast,Major,Battalion 2,"https://example4.com, https://example8.com, https://example6.com"
2848,Serhiy Kravchenko Serhiyovych,"March 14, 1973",Donetsk Oblast,Kyiv Oblast,Lieutenant,Special Forces,"https://example10.com, https://example1.com, https://example9.com, https://example7.com, https://example7.com, https://example9.com, https://example2.com"
2849,Oleh Shevchenko Petrovych,"May 02, 1989","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Private,Battalion 1,"https://example9.com, https://example9.com, https://example5.com"
2850,Ihor Lysenko Romanovych,"August 06, 1960",Kyiv Oblast,Odesa Oblast,Major,Battalion 2,"https://example4.com, https://example5.com, https://example4.com"
2851,Ihor Tkachuk Vasyl'ovych,"October 31, 1974",Zhytomyr Oblast,Donetsk Oblast,Captain,Infantry,"https://example8.com, https://example8.com, https://example5.com, https://example5.com, https://example8.com, https://example10.com, https://example6.com, https://example4.com"
2852,Ihor Kovalenko Romanovych,"September 10, 1974",Lviv Oblast,Kyiv Oblast,Major,Infantry,"https://example8.com, https://example8.com, https://example10.com, https://example6.com, https://example6.com, https://example4.com"
2853,Oleh Hrytsenko Vasyl'ovych,"July 08, 1963","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Unknown,"https://example7.com, https://example7.com, https://example10.com, https://example7.com, https://example5.com, https://example8.com"
2854,Serhiy Bondarenko Serhiyovych,"June 02, 1970",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Unknown,"https://example10.com, https://example9.com, https://example2.com, https://example8.com, https://example4.com, https://example4.com, https://example6.com, https://example9.com"
2855,Mykola Kovalenko Yuriyovych,"June 15, 1985",Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Battalion 1,"https://example1.com, https://example5.com, https://example8.com, https://example4.com, https://example9.com"
2856,Volodymyr Zinchenko Serhiyovych,"September 27, 1965","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Sergeant,Battalion 2,"https://example5.com, https://example3.com, https://example6.com, https://example9.com, https://example10.com"
2857,Roman Shevchenko Mykolayovych,"February 01, 1966",Odesa Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Special Forces,"https://example4.com, https://example3.com, https://example2.com, https://example10.com"
2858,Volodymyr Kravchenko Vasyl'ovych,"August 22, 1964","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Unknown,"https://example10.com, https://example6.com, https://example8.com"
2859,Yuriy Kravchenko Mykolayovych,"February 21, 2000",Kyiv Oblast,Odesa Oblast,Captain,Battalion 2,"https://example1.com, https://example10.com, https://example5.com"
2860,Oleh Kovalenko Vasyl'ovych,"January 05, 1991","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Major,Infantry,"https://example1.com, https://example10.com, https://example3.com"
2861,Roman Lysenko Oleksandrovych,"April 07, 1961","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Recon Squad,"https://example9.com, https://example2.com, https://example6.com"
2862,Volodymyr Kovalenko Mykolayovych,"January 28, 1975",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Unknown,"https://example10.com, https://example1.com, https://example4.com"
2863,Mykola Sakalo Vasyl'ovych,"July 19, 1968",Kharkiv Oblast,Donetsk Oblast,Private,Battalion 2,"https://example9.com, https://example6.com, https://example5.com, https://example7.com, https://example2.com"
2864,Dmytro Kovalenko Ivanovych,"February 03, 1968",Chernivtsi Oblast,Chernivtsi Oblast,Lieutenant,Recon Squad,"https://example5.com, https://example6.com, https://example2.com, https://example5.com, https://example9.com"
2865,Mykola Zinchenko Ivanovych,"January 03, 1996",Kyiv Oblast,Donetsk Oblast,Private,Infantry,"https://example4.com, https://example3.com, https://example7.com, https://example6.com, https://example3.com, https://example7.com"
