#,Name,Date of birth,Date of death,Date of burial,From,Died in the area of,Rank,Military Unit,Sources
2298,Yuriy Bondarenko Oleksandrovych,"November 08, 1967",76,"September 23, 2023",Lviv Oblast,Zhytomyr Oblast,Captain,Unknown,"https://example3.com, https://example2.com, https://example1.com, https://example8.com, https://example10.com"
2299,Volodymyr Sakalo Serhiyovych,"September 29, 1970",25,"May 24, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Lieutenant,Infantry,"https://example4.com, https://example2.com, https://example4.com"
2300,Roman Kravchenko Romanovych,"January 29, 2000",37,?,Zhytomyr Oblast,Kyiv Oblast,Colonel,Battalion 2,"https://example1.com, https://example6.com, https://example8.com, https://example5.com, https://example8.com, https://example9.com, https://example3.com, https://example5.com"
2301,Andrij Tkachuk Petrovych,"April 24, 1980",15,"February 14, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Battalion 1,"https://example9.com, https://example5.com, https://example3.com, https://example8.com, https://example6.com"
2302,Ihor Sakalo Oleksandrovych,"October 25, 1981",76,"July 23, 2022",Lviv Oblast,Kharkiv Oblast,Private,Unknown,"https://example6.com, https://example7.com, https://example8.com"
2303,Dmytro Bibikov Mykolayovych,"June 23, 1997",94,?,Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Battalion 2,"https://example1.com, https://example1.com, https://example1.com"
2304,Roman Tkachuk Oleksandrovych,"January 06, 1982",68,?,Kyiv Oblast,Donetsk Oblast,Senior soldier,Infantry,"https://example2.com, https://example4.com, https://example5.com, https://example8.com, https://example1.com, https://example6.com"
2305,Oleksandr Bibikov Petrovych,"June 03, 1999",83,"March 10, 2024",Lviv Oblast,Donetsk Oblast,Captain,Infantry,"https://example10.com, https://example3.com, https://example7.com, https://example4.com, https://example1.com, https://example7.com, https://example4.com"
2306,Mykola Lysenko Ivanovych,"December 14, 1975",85,"December 13, 2022",Kharkiv Oblast,Odesa Oblast,Lieutenant,Recon Squad,"https://example7.com, https://example10.com, https://example9.com, https://example2.com, https://example5.com, https://example4.com, https://example8.com, https://example10.com"
2307,Yuriy Zinchenko Ivanovych,"May 24, 1975",8,"November 22, 2023",Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Battalion 2,"https://example8.com, https://example8.com, https://example9.com, https://example8.com, https://example9.com, https://example9.com, https://example10.com"
2308,Andrij Kovalenko Romanovych,"June 06, 1980",58,"July 08, 2022",Lviv Oblast,Lviv Oblast,Major,Unknown,"https://example6.com, https://example1.com, https://example7.com, https://example3.com"
2309,Andrij Tkachuk Mykhailovych,"May 09, 1962",70,?,Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Recon Squad,"https://example2.com, https://example2.com, https://example4.com, https://example3.com, https://example9.com"
2310,Serhiy Bondarenko Petrovych,"February 15, 1971",91,"May 02, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Battalion 2,"https://example4.com, https://example5.com, https://example8.com"
2311,Ihor Zinchenko Mykolayovych,"July 15, 1963",25,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Senior soldier,Battalion 1,"https://example7.com, https://example7.com, https://example2.com"
2312,Serhiy Shevchenko Mykolayovych,"February 28, 1987",65,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Special Forces,"https://example6.com, https://example3.com, https://example2.com"
2313,Dmytro Shevchenko Volodymyrovych,"August 25, 1993",38,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kyiv Oblast,Private,Special Forces,"https://example5.com, https://example8.com, https://example4.com, https://example9.com, https://example2.com"
2314,Oleh Bondarenko Vasyl'ovych,"July 05, 1992",51,?,Donetsk Oblast,Odesa Oblast,Senior soldier,Battalion 2,"https://example10.com, https://example8.com, https://example4.com, https://example9.com, https://example9.com, https://example6.com, https://example9.com, https://example8.com"
2315,Oleksandr Sakalo Mykolayovych,"September 14, 1965",68,"June 27, 2024",Zhytomyr Oblast,Chernivtsi Oblast,Senior soldier,Unknown,"https://example7.com, https://example8.com, https://example7.com, https://example9.com, https://example1.com, https://example9.com"
2316,Serhiy Sakalo Mykolayovych,"September 11, 1967",72,"October 07, 2023","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Captain,Infantry,"https://example10.com, https://example8.com, https://example4.com, https://example9.com"
2317,Oleh Tkachuk Petrovych,"January 11, 1974",57,"July 15, 2022",Lviv Oblast,Zhytomyr Oblast,Private,Unknown,"https://example9.com, https://example6.com, https://example8.com, https://example9.com, https://example10.com, https://example6.com, https://example10.com, https://example3.com"
2318,Mykola Tkachuk Petrovych,"March 07, 1976",45,?,Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Special Forces,"https://example10.com, https://example3.com, https://example3.com"
2319,Oleksandr Hrytsenko Petrovych,"May 12, 1976",84,?,Zhytomyr Oblast,Donetsk Oblast,Captain,Recon Squad,"https://example6.com, https://example5.com, https://example5.com, https://example10.com, https://example10.com, https://example3.com, https://example4.com, https://example5.com"
2320,Andrij Zinchenko Mykolayovych,"November 11, 1967",60,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Senior soldier,Battalion 1,"https://example6.com, https://example9.com, https://example7.com, https://example9.com, https://example1.com"
2321,Volodymyr Hrytsenko Mykolayovych,"December 13, 1990",75,"September 22, 2022",Lviv Oblast,Kharkiv Oblast,Sergeant,Infantry,"https://example3.com, https://example4.com, https://example7.com, https://example6.com"
2322,Andrij Bondarenko Vasyl'ovych,"January 08, 1998",27,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lviv Oblast,Lieutenant,Battalion 2,"https://example5.com, https://example10.com, https://example2.com"
2323,Oleh Tkachuk Volodymyrovych,"August 21, 1999",100,"November 12, 2023",Zhytomyr Oblast,Zhytomyr Oblast,Colonel,Battalion 2,"https://example6.com, https://example1.com, https://example8.com, https://example3.com, https://example10.com, https://example8.com, https://example2.com, https://example6.com"
2324,Oleh Hrytsenko Ivanovych,"May 31, 1989",70,"June 05, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Sergeant,Battalion 2,"https://example5.com, https://example9.com, https://example6.com, https://example9.com, https://example5.com"
2325,Serhiy Zinchenko Romanovych,"April 19, 1989",70,?,Lviv Oblast,Kyiv Oblast,Major,Recon Squad,"https://example4.com, https://example6.com, https://example4.com, https://example1.com"
2326,Oleksandr Shevchenko Oleksandrovych,"September 11, 1994",76,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Recon Squad,"https://example2.com, https://example2.com, https://example3.com, https://example1.com, https://example5.com, https://example3.com, https://example2.com, https://example9.com"
2327,Oleksandr Lysenko Vasyl'ovych,"November 18, 1962",99,?,Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Recon Squad,"https://example1.com, https://example10.com, https://example5.com, https://example9.com, https://example2.com, https://example2.com, https://example3.com, https://example5.com"
2328,Volodymyr Lysenko Mykhailovych,"January 12, 1970",87,"January 24, 2022",Kyiv Oblast,Lviv Oblast,Major,Unknown,"https://example2.com, https://example6.com, https://example3.com, https://example6.com, https://example6.com, https://example6.com"
2329,Yuriy Tkachuk Serhiyovych,"March 17, 1983",35,"June 06, 2023",Lviv Oblast,Kyiv Oblast,Senior soldier,Battalion 1,"https://example5.com, https://example6.com, https://example3.com, https://example5.com, https://example3.com"
2330,Andrij Shevchenko Serhiyovych,"December 16, 1991",40,"June 26, 2024",Lviv Oblast,Zhytomyr Oblast,Private,Unknown,"https://example7.com, https://example9.com, https://example8.com, https://example9.com, https://example4.com"
2331,Oleksandr Shevchenko Serhiyovych,"December 09, 1986",20,"March 26, 2024",Kharkiv Oblast,Zhytomyr Oblast,Sergeant,Unknown,"https://example7.com, https://example2.com, https://example2.com, https://example1.com"
2332,Oleh Tkachuk Volodymyrovych,"July 16, 1982",36,"January 17, 2022",Kyiv Oblast,Kharkiv Oblast,Lieutenant,Infantry,"https://example5.com, https://example6.com, https://example4.com, https://example2.com, https://example9.com, https://example7.com"
2333,Serhiy Shevchenko Volodymyrovych,"May 22, 1981",82,?,Zhytomyr Oblast,Chernivtsi Oblast,Private,Special Forces,"https://example4.com, https://example1.com, https://example9.com, https://example1.com"
2334,Serhiy Bondarenko Petrovych,"October 28, 1965",2,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Captain,Battalion 1,"https://example1.com, https://example8.com, https://example3.com, https://example10.com"
2335,Volodymyr Kravchenko Volodymyrovych,"May 20, 1999",66,?,Odesa Oblast,Kharkiv Oblast,Senior soldier,Infantry,"https://example4.com, https://example5.com, https://example8.com, https://example3.com, https://example3.com, https://example1.com"
2336,Ihor Hrytsenko Ivanovych,"February 18, 1989",91,?,Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Infantry,"https://example6.com, https://example8.com, https://example3.com, https://example9.com, https://example2.com, https://example6.com, https://example1.com"
2337,Mykola Bibikov Mykhailovych,"September 24, 1976",93,?,Lviv Oblast,Chernivtsi Oblast,Major,Unknown,"https://example1.com, https://example2.com, https://example7.com, https://example10.com, https://example7.com, https://example7.com, https://example8.com, https://example8.com"
2338,Serhiy Shevchenko Yuriyovych,"February 02, 1980",65,"March 02, 2024",Donetsk Oblast,Chernivtsi Oblast,Major,Recon Squad,"https://example8.com, https://example4.com, https://example10.com"
2339,Ihor Kravchenko Romanovych,"December 22, 1996",71,?,Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Battalion 2,"https://example9.com, https://example9.com, https://example10.com, https://example7.com, https://example10.com, https://example10.com"
2340,Mykola Bibikov Mykolayovych,"February 23, 1965",20,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Senior soldier,Infantry,"https://example7.com, https://example8.com, https://example8.com, https://example9.com, https://example8.com, https://example10.com, https://example8.com"
2341,Roman Tkachuk Ivanovych,"October 24, 1981",66,?,Kyiv Oblast,Kyiv Oblast,Private,Recon Squad,"https://example3.com, https://example3.com, https://example1.com"
2342,Oleksandr Sakalo Mykhailovych,"July 11, 1973",88,?,Lviv Oblast,Donetsk Oblast,Colonel,Recon Squad,"https://example2.com, https://example5.com, https://example9.com, https://example5.com, https://example4.com, https://example2.com, https://example3.com"
2343,Oleksandr Zinchenko Mykhailovych,"March 04, 1967",92,"November 05, 2022",Odesa Oblast,Lviv Oblast,Sergeant,Recon Squad,"https://example5.com, https://example10.com, https://example10.com, https://example2.com"
2344,Yuriy Zinchenko Vasyl'ovych,"July 30, 1990",26,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Private,Special Forces,"https://example6.com, https://example4.com, https://example7.com, https://example7.com, https://example8.com, https://example8.com"
2345,Andrij Lysenko Ivanovych,"November 06, 1980",54,?,Zhytomyr Oblast,Odesa Oblast,Colonel,Unknown,"https://example3.com, https://example8.com, https://example9.com, https://example7.com, https://example9.com, https://example1.com, https://example6.com, https://example3.com"
2346,Ihor Kovalenko Yuriyovych,"June 20, 1992",74,"December 28, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Sergeant,Recon Squad,"https://example1.com, https://example3.com, https://example4.com, https://example6.com, https://example6.com, https://example2.com"
2347,Yuriy Shevchenko Mykhailovych,"May 25, 1960",47,?,Odesa Oblast,Donetsk Oblast,Major,Battalion 2,"https://example6.com, https://example2.com, https://example6.com, https://example3.com, https://example10.com"
2348,Serhiy Bondarenko Mykolayovych,"September 11, 1974",29,?,Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Battalion 1,"https://example5.com, https://example7.com, https://example9.com"
2349,Volodymyr Bondarenko Oleksandrovych,"August 16, 1971",87,"June 09, 2024",Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Infantry,"https://example4.com, https://example1.com, https://example8.com, https://example8.com, https://example9.com, https://example7.com, https://example4.com"
2350,Ihor Zinchenko Serhiyovych,"May 16, 1996",92,"August 22, 2024",Lviv Oblast,Lviv Oblast,Private,Battalion 2,"https://example6.com, https://example6.com, https://example1.com, https://example4.com, https://example3.com, https://example6.com"
2351,Yuriy Sakalo Petrovych,"December 22, 1982",41,?,Odesa Oblast,Lviv Oblast,Colonel,Unknown,"https://example4.com, https://example10.com, https://example9.com"
2352,Dmytro Zinchenko Petrovych,"August 06, 1972",32,?,Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Battalion 1,"https://example8.com, https://example1.com, https://example5.com, https://example10.com, https://example4.com, https://example10.com, https://example6.com"
2353,Oleksandr Sakalo Serhiyovych,"August 24, 1986",93,"January 16, 2024",Kyiv Oblast,Chernivtsi Oblast,Colonel,Battalion 2,"https://example5.com, https://example1.com, https://example2.com, https://example1.com"
2354,Oleh Shevchenko Volodymyrovych,"October 12, 1980",28,"February 05, 2023","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Senior soldier,Battalion 2,"https://example2.com, https://example6.com, https://example4.com, https://example3.com, https://example5.com, https://example2.com"
2355,Ihor Hrytsenko Oleksandrovych,"November 08, 1972",73,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Battalion 2,"https://example9.com, https://example3.com, https://example6.com, https://example6.com, https://example2.com, https://example1.com, https://example4.com, https://example1.com"
2356,Roman Kravchenko Volodymyrovych,"May 07, 1985",86,?,Donetsk Oblast,Lviv Oblast,Senior soldier,Infantry,"https://example10.com, https://example9.com, https://example1.com, https://example7.com, https://example9.com, https://example2.com, https://example4.com"
2357,Oleksandr Kovalenko Volodymyrovych,"January 28, 1972",87,"June 17, 2023",Odesa Oblast,Donetsk Oblast,Lieutenant,Infantry,"https://example8.com, https://example3.com, https://example9.com"
2358,Volodymyr Hrytsenko Ivanovych,"February 04, 1976",52,?,Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Infantry,"https://example4.com, https://example10.com, https://example4.com, https://example6.com, https://example4.com, https://example6.com, https://example3.com, https://example10.com"
2359,Volodymyr Bondarenko Serhiyovych,"May 11, 1967",64,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Major,Recon Squad,"https://example4.com, https://example6.com, https://example1.com"
2360,Oleh Lysenko Vasyl'ovych,"June 21, 1977",13,?,Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Special Forces,"https://example9.com, https://example8.com, https://example5.com, https://example3.com"
2361,Oleksandr Hrytsenko Mykolayovych,"July 06, 1989",72,?,Chernivtsi Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Recon Squad,"https://example10.com, https://example9.com, https://example3.com, https://example8.com, https://example2.com"
2362,Serhiy Shevchenko Petrovych,"February 07, 1975",21,"August 21, 2023",Kharkiv Oblast,Kyiv Oblast,Lieutenant,Infantry,"https://example2.com, https://example5.com, https://example3.com, https://example8.com, https://example4.com, https://example8.com, https://example1.com"
2363,Ihor Sakalo Vasyl'ovych,"October 19, 1969",70,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Colonel,Infantry,"https://example2.com, https://example4.com, https://example9.com"
2364,Roman Zinchenko Volodymyrovych,"December 28, 1997",25,"September 01, 2022",Kyiv Oblast,Odesa Oblast,Private,Infantry,"https://example2.com, https://example1.com, https://example4.com, https://example4.com"
2365,Oleksandr Lysenko Vasyl'ovych,"July 05, 1972",7,"October 26, 2024",Kharkiv Oblast,Kharkiv Oblast,Lieutenant,Battalion 2,"https://example8.com, https://example4.com, https://example9.com, https://example5.com"
2366,Serhiy Lysenko Serhiyovych,"June 15, 1971",49,?,Lviv Oblast,Kyiv Oblast,Major,Battalion 2,"https://example5.com, https://example3.com, https://example2.com, https://example6.com"
2367,Oleksandr Kravchenko Petrovych,"February 07, 1994",19,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Captain,Unknown,"https://example4.com, https://example4.com, https://example1.com"
2368,Oleh Kravchenko Serhiyovych,"July 27, 1962",69,"December 26, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Battalion 2,"https://example4.com, https://example2.com, https://example5.com, https://example10.com, https://example10.com, https://example1.com"
2369,Roman Kovalenko Volodymyrovych,"January 28, 1978",83,"September 11, 2024",Lviv Oblast,Chernivtsi Oblast,Captain,Battalion 2,"https://example7.com, https://example5.com, https://example9.com"
2370,Andrij Bibikov Mykolayovych,"November 04, 1986",66,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Captain,Battalion 2,"https://example4.com, https://example8.com, https://example5.com, https://example5.com, https://example1.com"
2371,Yuriy Zinchenko Mykhailovych,"February 22, 1978",32,"February 05, 2024",Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Infantry,"https://example6.com, https://example3.com, https://example5.com"
2372,Oleksandr Bondarenko Volodymyrovych,"May 18, 1966",39,?,Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Special Forces,"https://example6.com, https://example5.com, https://example9.com, https://example10.com, https://example10.com"
2373,Oleh Hrytsenko Mykolayovych,"December 29, 1966",76,?,Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Battalion 1,"https://example5.com, https://example5.com, https://example9.com, https://example1.com, https://example4.com, https://example1.com, https://example9.com, https://example10.com"
2374,Serhiy Shevchenko Mykolayovych,"July 18, 1962",55,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Chernivtsi Oblast,Senior soldier,Recon Squad,"https://example10.com, https://example2.com, https://example6.com, https://example3.com"
2375,Andrij Kravchenko Mykolayovych,"March 12, 1968",84,?,Kyiv Oblast,Kharkiv Oblast,Private,Battalion 1,"https://example2.com, https://example1.com, https://example10.com"
2376,Andrij Hrytsenko Yuriyovych,"July 05, 1989",86,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Sergeant,Battalion 1,"https://example1.com, https://example1.com, https://example8.com, https://example10.com, https://example8.com"
2377,Dmytro Sakalo Yuriyovych,"October 26, 1985",89,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Colonel,Special Forces,"https://example2.com, https://example6.com, https://example1.com, https://example3.com"
2378,Andrij Zinchenko Romanovych,"April 05, 1993",91,"July 02, 2022",Odesa Oblast,Chernivtsi Oblast,Major,Recon Squad,"https://example9.com, https://example4.com, https://example9.com, https://example10.com"
2379,Oleh Tkachuk Serhiyovych,"February 09, 1988",91,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Colonel,Unknown,"https://example9.com, https://example8.com, https://example1.com, https://example6.com, https://example1.com, https://example2.com, https://example1.com, https://example4.com"
2380,Roman Kovalenko Mykolayovych,"March 10, 1967",20,?,Kharkiv Oblast,Chernivtsi Oblast,Major,Recon Squad,"https://example2.com, https://example10.com, https://example4.com, https://example8.com"
2381,Roman Lysenko Mykolayovych,"January 09, 1989",77,"June 12, 2024",Chernivtsi Oblast,Lviv Oblast,Captain,Unknown,"https://example6.com, https://example7.com, https://example6.com, https://example1.com, https://example4.com, https://example5.com, https://example9.com, https://example7.com"
2382,Yuriy Kovalenko Yuriyovych,"December 08, 1961",91,?,Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Special Forces,"https://example9.com, https://example4.com, https://example2.com, https://example9.com"
2383,Dmytro Bondarenko Mykhailovych,"October 18, 1994",66,?,Odesa Oblast,Kyiv Oblast,Colonel,Unknown,"https://example8.com, https://example7.com, https://example7.com, https://example6.com, https://example2.com, https://example5.com, https://example9.com"
2384,Oleh Kovalenko Petrovych,"May 16, 1997",67,?,Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Unknown,"https://example9.com, https://example4.com, https://example2.com, https://example10.com"
2385,Volodymyr Hrytsenko Mykhailovych,"April 22, 1985",34,"May 10, 2022",Chernivtsi Oblast,Odesa Oblast,Sergeant,Recon Squad,"https://example8.com, https://example6.com, https://example8.com, https://example10.com, https://example9.com"
2386,Andrij Shevchenko Romanovych,"September 29, 2000",70,"December 19, 2022",Lviv Oblast,Donetsk Oblast,Senior soldier,Recon Squad,"https://example4.com, https://example2.com, https://example8.com, https://example5.com, https://example10.com, https://example10.com, https://example10.com"
2387,Roman Sakalo Romanovych,"August 01, 1968",83,?,Donetsk Oblast,Kyiv Oblast,Captain,Unknown,"https://example10.com, https://example8.com, https://example9.com, https://example5.com"
2388,Volodymyr Shevchenko Mykolayovych,"September 09, 1966",28,"March 25, 2022",Chernivtsi Oblast,Zhytomyr Oblast,Major,Recon Squad,"https://example7.com, https://example1.com, https://example5.com, https://example1.com, https://example2.com"
2389,Serhiy Hrytsenko Ivanovych,"November 17, 1997",14,?,Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Battalion 2,"https://example5.com, https://example2.com, https://example6.com, https://example9.com, https://example5.com"
2390,Volodymyr Bondarenko Vasyl'ovych,"February 14, 2000",68,?,Odesa Oblast,Kharkiv Oblast,Sergeant,Unknown,"https://example7.com, https://example8.com, https://example2.com, https://example5.com, https://example1.com, https://example9.com"
2391,Yuriy Sakalo Volodymyrovych,"April 18, 1981",72,?,Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Battalion 1,"https://example10.com, https://example6.com, https://example7.com, https://example1.com, https://example7.com, https://example10.com, https://example3.com"
2392,Mykola Shevchenko Volodymyrovych,"December 28, 1988",83,"July 17, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Major,Special Forces,"https://example1.com, https://example1.com, https://example5.com, https://example6.com, https://example7.com, https://example4.com, https://example3.com"
2393,Serhiy Kravchenko Vasyl'ovych,"March 02, 1964",5,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Colonel,Battalion 1,"https://example1.com, https://example9.com, https://example1.com, https://example10.com, https://example10.com, https://example7.com, https://example4.com"
2394,Volodymyr Tkachuk Romanovych,"May 14, 1983",98,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Major,Infantry,"https://example7.com, https://example7.com, https://example10.com, https://example4.com, https://example9.com, https://example7.com"
2395,Andrij Zinchenko Vasyl'ovych,"March 22, 2000",83,?,Chernivtsi Oblast,Kharkiv Oblast,Lieutenant,Battalion 1,"https://example1.com, https://example3.com, https://example6.com"
2396,Volodymyr Kravchenko Volodymyrovych,"January 19, 1961",61,"March 16, 2024",Kyiv Oblast,Lviv Oblast,Sergeant,Recon Squad,"https://example3.com, https://example4.com, https://example6.com, https://example1.com, https://example8.com"
2397,Mykola Lysenko Oleksandrovych,"September 29, 1996",30,"November 18, 2024",Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Battalion 1,"https://example4.com, https://example10.com, https://example8.com, https://example5.com, https://example5.com, https://example4.com"
2398,Ihor Kovalenko Vasyl'ovych,"September 19, 1976",7,?,Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Infantry,"https://example5.com, https://example8.com, https://example10.com, https://example7.com, https://example6.com, https://example10.com"
2399,Yuriy Bibikov Petrovych,"July 09, 1991",4,"October 03, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Major,Infantry,"https://example10.com, https://example1.com, https://example4.com, https://example9.com, https://example4.com, https://example3.com, https://example2.com, https://example2.com"
2400,Oleksandr Lysenko Ivanovych,"October 28, 1996",57,"October 02, 2022",Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Infantry,"https://example9.com, https://example8.com, https://example6.com, https://example10.com"
2401,Volodymyr Shevchenko Volodymyrovych,"November 28, 2000",52,?,Chernivtsi Oblast,Zhytomyr Oblast,Major,Infantry,"https://example8.com, https://example10.com, https://example7.com, https://example3.com, https://example3.com"
2402,Ihor Lysenko Serhiyovych,"February 05, 1969",9,"February 17, 2024",Odesa Oblast,Kyiv Oblast,Lieutenant,Special Forces,"https://example4.com, https://example1.com, https://example1.com"
2403,Oleksandr Shevchenko Yuriyovych,"October 28, 1977",92,"October 14, 2024",Chernivtsi Oblast,Zhytomyr Oblast,Private,Special Forces,"https://example3.com, https://example9.com, https://example8.com, https://example7.com, https://example3.com, https://example5.com"
2404,Oleh Tkachuk Yuriyovych,"November 23, 1971",33,"August 28, 2023",Donetsk Oblast,Kharkiv Oblast,Lieutenant,Battalion 1,"https://example6.com, https://example7.com, https://example1.com, https://example4.com, https://example4.com"
2405,Volodymyr Kovalenko Oleksandrovych,"March 21, 1968",96,?,Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Special Forces,"https://example2.com, https://example10.com, https://example3.com, https://example5.com, https://example5.com, https://example9.com, https://example1.com, https://example6.com"
2406,Oleksandr Shevchenko Vasyl'ovych,"February 21, 1963",94,"December 29, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Colonel,Recon Squad,"https://example3.com, https://example4.com, https://example3.com, https://example5.com"
2407,Mykola Lysenko Yuriyovych,"January 26, 1967",41,"July 01, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Infantry,"https://example6.com, https://example4.com, https://example10.com, https://example4.com"
