#,Name,Date of birth,Date of death,Date of burial,From,Died in the area of,Rank,Military Unit,Sources
4046,Mykola Sakalo Volodymyrovych,"June 12, 1980","October 04, 2024","March 31, 2023",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Unknown,"https://example9.com, https://example3.com, https://example9.com, https://example6.com, https://example4.com, https://example4.com, https://example8.com"
4047,Roman Lysenko Petrovych,"August 16, 1994","April 27, 2024",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Battalion 2,"https://example5.com, https://example3.com, https://example9.com, https://example5.com, https://example9.com"
4048,Roman Zinchenko Serhiyovych,"August 21, 1991","June 21, 2022",?,Kharkiv Oblast,Odesa Oblast,Senior soldier,Battalion 2,"https://example5.com, https://example8.com, https://example10.com"
4049,Roman Shevchenko Vasyl'ovych,"March 24, 1988","June 16, 2024",?,Donetsk Oblast,Odesa Oblast,Sergeant,Recon Squad,"https://example1.com, https://example8.com, https://example4.com, https://example8.com"
4050,Oleh Kovalenko Mykolayovych,"February 28, 1960","November 15, 2023","March 05, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Special Forces,"https://example10.com, https://example3.com, https://example10.com, https://example7.com, https://example6.com, https://example6.com, https://example4.com"
4051,Mykola Shevchenko Mykhailovych,"June 16, 1985","March 25, 2024","October 12, 2023","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Lieutenant,Battalion 2,"https://example9.com, https://example10.com, https://example1.com, https://example10.com, https://example1.com, https://example2.com"
4052,Andrij Kravchenko Petrovych,"January 27, 1981","June 01, 2024","December 12, 2023",Chernivtsi Oblast,Lviv Oblast,Private,Recon Squad,"https://example6.com, https://example2.com, https://example1.com, https://example9.com"
4053,Serhiy Sakalo Ivanovych,"March 01, 1982","August 04, 2022",?,Zhytomyr Oblast,Kyiv Oblast,Lieutenant,Recon Squad,"https://example8.com, https://example10.com, https://example10.com, https://example5.com, https://example10.com, https://example5.com"
4054,Volodymyr Bibikov Mykolayovych,"July 01, 1987","June 11, 2022","April 11, 2024",Chernivtsi Oblast,Kharkiv Oblast,Private,Battalion 1,"https://example2.com, https://example6.com, https://example5.com, https://example10.com, https://example8.com, https://example2.com"
4055,Ihor Tkachuk Petrovych,"May 01, 1973","February 24, 2024","September 17, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Sergeant,Special Forces,"https://example8.com, https://example8.com, https://example7.com, https://example5.com, https://example10.com, https://example8.com, https://example8.com"
4056,Serhiy Lysenko Serhiyovych,"October 02, 1977","January 25, 2023",?,Chernivtsi Oblast,Lviv Oblast,Captain,Battalion 2,"https://example3.com, https://example2.com, https://example4.com, https://example9.com, https://example6.com"
4057,Andrij Kovalenko Ivanovych,"June 11, 1990","March 08, 2022",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Captain,Special Forces,"https://example6.com, https://example2.com, https://example3.com, https://example7.com, https://example2.com, https://example5.com, https://example1.com, https://example2.com"
4058,Roman Bondarenko Oleksandrovych,"June 11, 1961","February 07, 2024",?,Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Recon Squad,"https://example3.com, https://example10.com, https://example10.com, https://example1.com, https://example7.com, https://example9.com"
4059,Volodymyr Tkachuk Volodymyrovych,"March 20, 1968","June 01, 2023",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Colonel,Recon Squad,"https://example10.com, https://example9.com, https://example5.com, https://example6.com"
4060,Roman Bibikov Vasyl'ovych,"December 12, 1972","March 27, 2024",?,Odesa Oblast,Donetsk Oblast,Private,Unknown,"https://example1.com, https://example7.com, https://example8.com"
4061,Oleksandr Hrytsenko Mykolayovych,"July 31, 2000","October 10, 2024","March 29, 2022",Odesa Oblast,Kharkiv Oblast,Sergeant,Recon Squad,"https://example10.com, https://example7.com, https://example2.com, https://example1.com, https://example1.com"
4062,Serhiy Kovalenko Serhiyovych,"November 03, 1968","April 15, 2022",?,Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Special Forces,"https://example4.com, https://example2.com, https://example2.com, https://example10.com, https://example2.com"
4063,Oleksandr Zinchenko Ivanovych,"April 30, 1995","May 07, 2023","May 11, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Lieutenant,Special Forces,"https://example9.com, https://example6.com, https://example3.com, https://example3.com, https://example4.com, https://example9.com, https://example2.com"
4064,Dmytro Lysenko Volodymyrovych,"November 01, 1990","May 26, 2022",?,Zhytomyr Oblast,Donetsk Oblast,Colonel,Battalion 2,"https://example5.com, https://example6.com, https://example7.com, https://example5.com, https://example2.com, https://example2.com"
4065,Oleksandr Zinchenko Oleksandrovych,"January 08, 1975","March 30, 2024",?,Zhytomyr Oblast,Donetsk Oblast,Senior soldier,Special Forces,"https://example1.com, https://example4.com, https://example7.com"
4066,Yuriy Zinchenko Ivanovych,"January 27, 1964","March 29, 2024","July 15, 2024",Lviv Oblast,Lviv Oblast,Senior soldier,Unknown,"https://example2.com, https://example1.com, https://example5.com"
4067,Volodymyr Lysenko Volodymyrovych,"October 05, 1991","August 11, 2022",?,Kharkiv Oblast,Kyiv Oblast,Lieutenant,Special Forces,"https://example3.com, https://example10.com, https://example8.com, https://example1.com, https://example7.com, https://example7.com, https://example9.com"
4068,Oleh Zinchenko Vasyl'ovych,"March 30, 1979","March 05, 2022",?,Kharkiv Oblast,Donetsk Oblast,Lieutenant,Infantry,"https://example8.com, https://example5.com, https://example4.com"
4069,Oleh Kovalenko Oleksandrovych,"May 15, 1961","July 08, 2024","March 16, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Battalion 1,"https://example6.com, https://example6.com, https://example1.com, https://example5.com, https://example2.com, https://example1.com, https://example9.com, https://example5.com"
4070,Ihor Shevchenko Volodymyrovych,"April 24, 1978","February 25, 2023",?,Chernivtsi Oblast,Kharkiv Oblast,Private,Infantry,"https://example1.com, https://example10.com, https://example9.com, https://example3.com"
4071,Serhiy Bibikov Mykolayovych,"May 15, 1961","March 12, 2022","January 20, 2023",Donetsk Oblast,Lviv Oblast,Sergeant,Special Forces,"https://example10.com, https://example2.com, https://example8.com"
4072,Mykola Tkachuk Yuriyovych,"August 14, 1980","March 25, 2024",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Infantry,"https://example1.com, https://example6.com, https://example8.com, https://example1.com, https://example5.com"
4073,Andrij Zinchenko Serhiyovych,"August 08, 1968","May 12, 2024","December 21, 2024",Donetsk Oblast,Donetsk Oblast,Senior soldier,Special Forces,"https://example8.com, https://example6.com, https://example2.com, https://example8.com, https://example1.com, https://example1.com, https://example2.com, https://example10.com"
4074,Oleh Kovalenko Vasyl'ovych,"October 29, 1992","June 28, 2022","August 03, 2024",Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Special Forces,"https://example5.com, https://example4.com, https://example2.com"
4075,Oleksandr Lysenko Mykolayovych,"June 04, 1994","August 13, 2024",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Major,Battalion 2,"https://example1.com, https://example1.com, https://example1.com, https://example1.com"
4076,Andrij Kravchenko Oleksandrovych,"June 03, 1967","November 26, 2024",?,Chernivtsi Oblast,Chernivtsi Oblast,Senior soldier,Battalion 1,"https://example10.com, https://example6.com, https://example6.com, https://example5.com, https://example9.com, https://example1.com, https://example2.com, https://example5.com"
4077,Oleksandr Tkachuk Romanovych,"April 26, 1965","March 08, 2024","July 06, 2023","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Captain,Recon Squad,"https://example6.com, https://example5.com, https://example3.com, https://example4.com, https://example8.com, https://example1.com"
4078,Ihor Bibikov Ivanovych,"January 15, 1980","April 19, 2022",?,Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Battalion 1,"https://example1.com, https://example3.com, https://example9.com, https://example7.com"
4079,Oleh Bondarenko Volodymyrovych,"August 13, 1980","December 02, 2022","October 14, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Colonel,Unknown,"https://example10.com, https://example9.com, https://example10.com, https://example6.com, https://example1.com, https://example6.com"
4080,Roman Zinchenko Romanovych,"September 23, 1999","September 01, 2022",?,Kharkiv Oblast,Kharkiv Oblast,Captain,Unknown,"https://example8.com, https://example1.com, https://example2.com, https://example1.com, https://example3.com, https://example9.com"
4081,Oleksandr Lysenko Yuriyovych,"August 14, 2000","August 19, 2023","January 24, 2024",Zhytomyr Oblast,Kharkiv Oblast,Major,Special Forces,"https://example4.com, https://example2.com, https://example10.com, https://example5.com"
4082,Ihor Shevchenko Petrovych,"May 30, 1981","December 04, 2022",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Captain,Recon Squad,"https://example6.com, https://example8.com, https://example5.com"
4083,Mykola Bondarenko Vasyl'ovych,"March 19, 1968","June 20, 2024","August 03, 2024",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Battalion 1,"https://example9.com, https://example10.com, https://example7.com, https://example7.com"
4084,Serhiy Bondarenko Serhiyovych,"September 22, 1981","May 07, 2024",?,Lviv Oblast,Donetsk Oblast,Lieutenant,Unknown,"https://example10.com, https://example10.com, https://example6.com"
4085,Andrij Bondarenko Mykhailovych,"September 21, 1986","March 26, 2023","October 31, 2022",Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Battalion 2,"https://example8.com, https://example4.com, https://example7.com, https://example6.com, https://example9.com, https://example7.com, https://example9.com, https://example4.com"
4086,Yuriy Bibikov Vasyl'ovych,"July 16, 1981","March 18, 2024","March 08, 2022",Kharkiv Oblast,Chernivtsi Oblast,Major,Battalion 2,"https://example8.com, https://example8.com, https://example2.com, https://example1.com, https://example4.com, https://example3.com, https://example10.com"
4087,Roman Tkachuk Yuriyovych,"March 31, 1998","August 30, 2023",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Battalion 1,"https://example1.com, https://example5.com, https://example7.com, https://example9.com, https://example10.com, https://example3.com, https://example3.com, https://example7.com"
4088,Volodymyr Bondarenko Oleksandrovych,"April 25, 1997","August 05, 2022","February 24, 2023",Odesa Oblast,Donetsk Oblast,Sergeant,Recon Squad,"https://example7.com, https://example8.com, https://example7.com, https://example9.com, https://example2.com, https://example7.com"
4089,Oleksandr Hrytsenko Oleksandrovych,"March 29, 1997","April 05, 2024","August 20, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Recon Squad,"https://example2.com, https://example7.com, https://example3.com, https://example3.com"
4090,Serhiy Sakalo Mykhailovych,"October 10, 1975","August 05, 2023","May 15, 2023","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Battalion 2,"https://example9.com, https://example9.com, https://example9.com"
4091,Dmytro Bondarenko Ivanovych,"May 08, 2000","April 24, 2024","July 13, 2024",Chernivtsi Oblast,Zhytomyr Oblast,Sergeant,Battalion 2,"https://example4.com, https://example8.com, https://example9.com, https://example6.com, https://example7.com, https://example3.com, https://example5.com, https://example4.com"
4092,Ihor Sakalo Oleksandrovych,"December 09, 1961","January 28, 2024",?,Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Recon Squad,"https://example1.com, https://example8.com, https://example4.com, https://example9.com, https://example3.com"
4093,Dmytro Kovalenko Mykhailovych,"October 27, 1980","December 31, 2024","March 05, 2024",Lviv Oblast,Lviv Oblast,Senior soldier,Battalion 1,"https://example9.com, https://example5.com, https://example8.com, https://example3.com, https://example3.com, https://example3.com, https://example6.com, https://example2.com"
4094,Mykola Zinchenko Petrovych,"June 16, 1993","October 06, 2022",?,Odesa Oblast,Donetsk Oblast,Senior soldier,Recon Squad,"https://example6.com, https://example3.com, https://example3.com, https://example10.com, https://example2.com, https://example5.com"
4095,Serhiy Kovalenko Petrovych,"October 01, 1993","February 09, 2022",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Infantry,"https://example9.com, https://example2.com, https://example6.com, https://example1.com, https://example10.com, https://example3.com, https://example5.com"
4096,Volodymyr Tkachuk Ivanovych,"November 21, 1973","September 12, 2022","March 11, 2023",Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Recon Squad,"https://example10.com, https://example9.com, https://example4.com, https://example8.com, https://example8.com, https://example10.com, https://example7.com, https://example10.com"
4097,Mykola Hrytsenko Serhiyovych,"December 18, 1965","November 18, 2023","June 27, 2022",Kharkiv Oblast,Odesa Oblast,Colonel,Special Forces,"https://example7.com, https://example2.com, https://example8.com"
4098,Andrij Kravchenko Mykhailovych,"December 03, 2000","March 01, 2024","July 20, 2022",Odesa Oblast,Kharkiv Oblast,Major,Unknown,"https://example6.com, https://example1.com, https://example5.com, https://example9.com, https://example9.com, https://example3.com, https://example4.com, https://example9.com"
4099,Volodymyr Bibikov Vasyl'ovych,"September 30, 1985","March 04, 2022","July 25, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Chernivtsi Oblast,Captain,Recon Squad,"https://example6.com, https://example7.com, https://example8.com"
4100,Volodymyr Bibikov Romanovych,"September 03, 1969","August 22, 2023","April 15, 2023",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Special Forces,"https://example2.com, https://example3.com, https://example6.com, https://example7.com, https://example1.com, https://example1.com"
4101,Oleksandr Sakalo Oleksandrovych,"December 08, 1999","November 13, 2022",?,Chernivtsi Oblast,Odesa Oblast,Major,Battalion 2,"https://example4.com, https://example4.com, https://example10.com, https://example3.com, https://example5.com"
4102,Oleksandr Sakalo Romanovych,"May 15, 1979","February 19, 2023","January 02, 2024",Zhytomyr Oblast,Kyiv Oblast,Lieutenant,Infantry,"https://example5.com, https://example5.com, https://example9.com, https://example8.com"
4103,Ihor Tkachuk Oleksandrovych,"January 30, 1991","June 04, 2023","April 30, 2023",Lviv Oblast,Kharkiv Oblast,Captain,Battalion 1,"https://example9.com, https://example10.com, https://example4.com, https://example2.com, https://example7.com, https://example9.com"
4104,Mykola Shevchenko Mykolayovych,"July 05, 1996","October 25, 2022",?,Zhytomyr Oblast,Lviv Oblast,Sergeant,Battalion 1,"https://example5.com, https://example6.com, https://example2.com, https://example7.com"
4105,Mykola Hrytsenko Mykolayovych,"December 26, 1985","August 01, 2024",?,Odesa Oblast,Donetsk Oblast,Sergeant,Infantry,"https://example2.com, https://example2.com, https://example1.com, https://example1.com"
4106,Mykola Bibikov Mykhailovych,"January 08, 1999","January 04, 2024",?,Lviv Oblast,Zhytomyr Oblast,Private,Battalion 1,"https://example9.com, https://example3.com, https://example7.com, https://example7.com, https://example5.com"
4107,Roman Zinchenko Ivanovych,"August 14, 1971","October 24, 2024","June 30, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Private,Special Forces,"https://example5.com, https://example4.com, https://example6.com, https://example5.com, https://example2.com, https://example2.com, https://example6.com, https://example9.com"
4108,Mykola Kravchenko Mykhailovych,"December 12, 1972","November 19, 2023","October 08, 2023",Donetsk Oblast,Zhytomyr Oblast,Colonel,Unknown,"https://example4.com, https://example8.com, https://example9.com"
4109,Volodymyr Bibikov Ivanovych,"February 09, 1980","June 12, 2022",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lviv Oblast,Senior soldier,Battalion 1,"https://example10.com, https://example9.com, https://example10.com, https://example7.com, https://example3.com"
4110,Oleksandr Bondarenko Mykolayovych,"March 01, 1980","March 09, 2024","October 08, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Major,Battalion 1,"https://example7.com, https://example2.com, https://example8.com, https://example7.com, https://example10.com, https://example3.com"
4111,Ihor Lysenko Mykhailovych,"January 29, 1988","January 10, 2024","September 22, 2024",Kyiv Oblast,Lviv Oblast,Lieutenant,Battalion 1,"https://example7.com, https://example3.com, https://example9.com, https://example1.com, https://example6.com"
4112,Oleh Sakalo Yuriyovych,"June 26, 1969","July 24, 2022","June 19, 2022",Odesa Oblast,Kyiv Oblast,Captain,Unknown,"https://example9.com, https://example1.com, https://example4.com, https://example1.com, https://example8.com, https://example2.com, https://example6.com, https://example5.com"
4113,Serhiy Shevchenko Volodymyrovych,"September 07, 1995","January 31, 2022",?,Zhytomyr Oblast,Zhytomyr Oblast,Colonel,Battalion 2,"https://example4.com, https://example8.com, https://example2.com, https://example5.com, https://example8.com, https://example8.com"
4114,Roman Bibikov Serhiyovych,"July 26, 1981","June 25, 2024","August 24, 2022",Donetsk Oblast,Chernivtsi Oblast,Sergeant,Unknown,"https://example8.com, https://example5.com, https://example2.com, https://example3.com, https://example9.com"
4115,Oleksandr Bondarenko Romanovych,"September 20, 1992","April 20, 2024","December 09, 2022",Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Recon Squad,"https://example7.com, https://example5.com, https://example8.com, https://example5.com, https://example8.com, https://example9.com, https://example7.com"
4116,Roman Lysenko Vasyl'ovych,"January 04, 1986","June 02, 2023","September 22, 2023","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Infantry,"https://example4.com, https://example5.com, https://example6.com, https://example8.com, https://example8.com, https://example9.com, https://example1.com"
4117,Roman Kravchenko Petrovych,"August 16, 1982","March 20, 2024",?,Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Battalion 1,"https://example8.com, https://example7.com, https://example10.com, https://example9.com, https://example1.com"
4118,Oleh Sakalo Romanovych,"December 15, 1961","November 19, 2024",?,Kharkiv Oblast,Odesa Oblast,Private,Special Forces,"https://example5.com, https://example4.com, https://example6.com, https://example2.com, https://example3.com, https://example2.com, https://example5.com"
4119,Yuriy Kovalenko Petrovych,"October 27, 1972","August 24, 2024",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Battalion 2,"https://example5.com, https://example6.com, https://example2.com, https://example8.com, https://example8.com, https://example8.com, https://example4.com, https://example6.com"
4120,Andrij Shevchenko Romanovych,"June 07, 1961","August 24, 2022","January 11, 2023",Donetsk Oblast,Chernivtsi Oblast,Private,Infantry,"https://example4.com, https://example2.com, https://example7.com, https://example2.com, https://example6.com, https://example2.com"
4121,Oleksandr Kravchenko Yuriyovych,"June 03, 1960","November 18, 2024",?,Zhytomyr Oblast,Lviv Oblast,Private,Infantry,"https://example5.com, https://example4.com, https://example6.com, https://example10.com"
4122,Dmytro Bondarenko Oleksandrovych,"June 01, 1998","July 06, 2024",?,Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Unknown,"https://example5.com, https://example1.com, https://example1.com, https://example2.com, https://example7.com"
4123,Serhiy Sakalo Yuriyovych,"May 21, 1976","May 09, 2023","July 08, 2022",Lviv Oblast,Kyiv Oblast,Major,Special Forces,"https://example3.com, https://example6.com, https://example2.com, https://example4.com, https://example10.com, https://example4.com"
4124,Mykola Bondarenko Vasyl'ovych,"September 01, 1984","April 02, 2022","February 26, 2023",Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Special Forces,"https://example6.com, https://example3.com, https://example1.com"
4125,Ihor Tkachuk Ivanovych,"May 20, 1964","March 23, 2022",?,Zhytomyr Oblast,Kharkiv Oblast,Sergeant,Unknown,"https://example8.com, https://example6.com, https://example7.com, https://example7.com, https://example6.com"
4126,Mykola Kravchenko Yuriyovych,"February 28, 1961","May 11, 2022","November 26, 2023","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Sergeant,Unknown,"https://example7.com, https://example1.com, https://example10.com, https://example3.com"
4127,Oleh Sakalo Oleksandrovych,"October 15, 1975","September 08, 2024","April 05, 2023",Kharkiv Oblast,Zhytomyr Oblast,Senior soldier,Recon Squad,"https://example10.com, https://example4.com, https://example4.com"
4128,Andrij Bibikov Oleksandrovych,"March 04, 1962","February 20, 2023","April 24, 2023",Chernivtsi Oblast,Kharkiv Oblast,Captain,Infantry,"https://example10.com, https://example10.com, https://example9.com, https://example7.com, https://example10.com, https://example8.com"
4129,Ihor Kovalenko Yuriyovych,"November 18, 1990","October 06, 2024","May 29, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Battalion 2,"https://example4.com, https://example2.com, https://example2.com, https://example10.com, https://example2.com, https://example9.com"
4130,Serhiy Sakalo Oleksandrovych,"March 20, 1976","January 17, 2022",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Battalion 2,"https://example2.com, https://example9.com, https://example10.com, https://example10.com, https://example7.com"
4131,Volodymyr Bondarenko Mykolayovych,"April 14, 1965","August 31, 2024",?,Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Battalion 1,"https://example9.com, https://example7.com, https://example7.com, https://example8.com, https://example3.com, https://example1.com"
4132,Volodymyr Kravchenko Vasyl'ovych,"November 29, 1980","November 08, 2022",?,Donetsk Oblast,Zhytomyr Oblast,Captain,Battalion 2,"https://example10.com, https://example3.com, https://example6.com, https://example2.com"
4133,Yuriy Shevchenko Yuriyovych,"January 31, 1961","January 25, 2023",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Sergeant,Battalion 1,"https://example4.com, https://example2.com, https://example5.com, https://example2.com, https://example10.com, https://example10.com"
4134,Mykola Lysenko Vasyl'ovych,"May 21, 2000","November 26, 2024",?,Kharkiv Oblast,Chernivtsi Oblast,Colonel,Unknown,"https://example8.com, https://example8.com, https://example2.com"
4135,Oleksandr Shevchenko Romanovych,"May 15, 2000","February 06, 2023",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Recon Squad,"https://example7.com, https://example10.com, https://example2.com"
4136,Oleksandr Bondarenko Yuriyovych,"February 05, 1971","July 18, 2024",?,Zhytomyr Oblast,Donetsk Oblast,Sergeant,Battalion 1,"https://example8.com, https://example9.com, https://example9.com, https://example4.com, https://example3.com, https://example2.com"
4137,Mykola Tkachuk Volodymyrovych,"November 20, 1996","December 31, 2024",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Infantry,"https://example10.com, https://example4.com, https://example3.com, https://example10.com"
4138,Oleh Shevchenko Yuriyovych,"March 13, 1982","December 03, 2023",?,Odesa Oblast,Zhytomyr Oblast,Lieutenant,Special Forces,"https://example5.com, https://example1.com, https://example9.com"
4139,Yuriy Kravchenko Oleksandrovych,"October 15, 1968","September 22, 2023","December 29, 2022",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Special Forces,"https://example7.com, https://example9.com, https://example10.com, https://example1.com, https://example7.com, https://example3.com, https://example9.com, https://example1.com"
4140,Oleh Lysenko Serhiyovych,"July 24, 1992","July 11, 2024","July 20, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Special Forces,"https://example8.com, https://example10.com, https://example9.com"
4141,Volodymyr Lysenko Volodymyrovych,"December 17, 1980","July 21, 2024",?,Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Infantry,"https://example5.com, https://example7.com, https://example2.com, https://example3.com, https://example8.com"
4142,Oleh Hrytsenko Ivanovych,"July 02, 1969","January 30, 2023",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Senior soldier,Battalion 2,"https://example7.com, https://example7.com, https://example4.com, https://example2.com, https://example6.com, https://example5.com, https://example8.com"
4143,Dmytro Tkachuk Petrovych,"September 17, 1996","September 23, 2024",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Colonel,Battalion 1,"https://example10.com, https://example10.com, https://example2.com, https://example4.com"
4144,Mykola Bondarenko Serhiyovych,"March 15, 1962","July 25, 2022",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Major,Special Forces,"https://example2.com, https://example7.com, https://example1.com, https://example2.com, https://example2.com, https://example3.com, https://example9.com"
4145,Oleksandr Sakalo Mykolayovych,"September 09, 1992","March 14, 2023",?,Odesa Oblast,Lviv Oblast,Lieutenant,Infantry,"https://example6.com, https://example10.com, https://example10.com, https://example4.com, https://example10.com, https://example9.com, https://example3.com, https://example8.com"
4146,Roman Bondarenko Volodymyrovych,"December 08, 1960","September 27, 2023","December 20, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Unknown,"https://example3.com, https://example9.com, https://example3.com, https://example3.com"
4147,Yuriy Kravchenko Yuriyovych,"January 18, 1995","February 24, 2024","March 02, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Lieutenant,Battalion 2,"https://example2.com, https://example9.com, https://example4.com, https://example10.com, https://example7.com, https://example7.com"
4148,Serhiy Kravchenko Petrovych,"July 27, 1969","September 12, 2022","August 11, 2022",Kyiv Oblast,Kharkiv Oblast,Lieutenant,Battalion 1,"https://example3.com, https://example6.com, https://example5.com"
